idPalavra;palavra;descricao;imagem;
NULL;Malware;Malware é qualquer software intencionalmente feito para causar danos a um computador, servidor, cliente, ou a uma rede de computadores. Pelo contrário, o software que causa danos não intencionais devido a alguma deficiência é tipicamente descrito como um erro de software.;malware;https://www.techtudo.com.br/listas/2021/03/o-que-e-malware-veja-significado-tipos-e-saiba-remover.ghtml
NULL;Memória;É a peça responsável por armazenar momentaneamente os dados dos programas que estão em execução no computador, ou seja, enquanto o computador estiver ligado.;memória;https://www.hostmidia.com.br/blog/memoria-o-que-e-para-que-serve/
NULL;Microfone;O microfone é um transdutor que converte o som em sinais elétricos.;microfone;https://mundoeducacao.uol.com.br/fisica/como-funcionam-os-microfones.htm
NULL;Modem;O modem é um dispositivo eletrônico que modula um sinal digital em uma onda analógica, capaz de ser transmitida pela linha telefônica, e que demodula o sinal analógico e o converte novamente para o formato digital original, criando uma comunicação entre dois pontos.;modem;https://support.google.com/wifi/answer/6274112?hl=pt-BR
NULL;Monitor;É o equipamento que permite a visualização das informações solicitadas pelo usuário.;monitor;https://conceitos.com/monitor/
NULL;Mouse;É o componente que possibilita ao usuário direcionar o cursor e clicar em locais específicos para executar uma tarefa.;mouse;https://edu.gcfglobal.org/pt/informatica-basica/o-que-e-um-mouse/1/
NULL;Navegador;Um navegador (também conhecido como web browser ou simplesmente browser) é um programa que habilita seus usuários a interagirem com documentos HTML hospedados em um servidor Web.;navegador;https://www.mozilla.org/pt-BR/firefox/browsers/what-is-a-browser/
NULL;NFC;A sigla, que em inglês significa Near Field Communication (“comunicação por campo de proximidade”), é uma tecnologia que realiza trocas de informações sem a necessidade de fios entre dois dispositivos, desde que eles estejam próximos;nfc;https://www.techtudo.com.br/noticias/2019/08/o-que-e-nfc-no-celular-como-funciona-e-para-que-serve-a-tecnologia.ghtml
NULL;Notebook / Laptop;Computador completo portátil, espécie de laptop, suas dimensões variam, mas tem como característica ser leve, pequeno e que pode ser levado para vários lugares.;notebook / laptop;https://www.techtudo.com.br/noticias/2011/12/qual-diferenca-entre-um-laptop-e-um-notebook.ghtml
NULL;Online;Conectado. Quando alguém se conecta, está presente naquele exato momento em algum lugar, por exemplo: Facebook, Instagram, etc.;online;https://www.dicio.com.br/on-line/#:~:text=Significado%20de%20On%2Dline,momento%20em%20que%20acessa%3B%20conectado.
NULL;Open Source;Ferramenta open source é aquela que tem seu código aberto, ou seja, que pode ser visualizada por qualquer pessoa. Para explicar melhor, vamos definir o que significa “código” – ou código-fonte – no segmento de tecnologia da informação.;open source;https://canaltech.com.br/produtos/O-que-e-open-source/
NULL;Operador;Presta suporte aos usuários em hardware e software, realizando a manutenção de equipamentos de informática e configuração de rede. Atende em campo e remoto a clientes, realizando testes em sistemas desenvolvidos pela empresa e serviços de manutenção (sistemas e hardware).;operador;https://www.infopedia.pt/dicionarios/lingua-portuguesa/operador
NULL;Output;"Mecanismo através do qual a informação armazenada e processada num computador é transferida para um meio externo; saída. [Informática] Essa informação transferida para um meio externo.";output;https://conceito.de/output
NULL;Password;Uma password(Senha) é uma palavra ou código que garante o acesso a áreas restritas ou dados protegidos num sistema informático.;password;https://www.infopedia.pt/apoio/artigos/$password
NULL;PenDrive;Memória USB Flash Drive, mais conhecido como pendrive, é um dispositivo constituído por uma memória flash e que possui a função de armazenamento de dados.;pendrive;https://mundoeducacao.uol.com.br/informatica/pendrive.htm
NULL;Placa de Rede;Uma placa de rede é um dispositivo de hardware responsável pela comunicação de um computador em uma rede de computadores. A placa de rede controla o envio e recebimento de dados de um computador conectado a uma rede, através de ondas eletromagnéticas, cabos metálicos ou cabos de fibra óptica.;placa de rede;https://www.hardware.com.br/livros/hardware-manual/placas-rede-1.html
NULL;Placa de Som;Placa de som é um dispositivo de hardware que envia e recebe sinais sonoros entre equipamentos de som e um computador executando um processo de conversão entre a forma digital e analógica para outros periféricos como fones de ouvido ou provendo interfaces para outros equipamentos digitais.;placa de som;https://www.oficinadanet.com.br/hardware/27243-o-que-e-placa-de-som-do-computador-e-como-funciona
NULL;placa de vídeo;É o componente responsável por permitir a visualização de imagens no monitor.;placa de vídeo;https://www.oficinadanet.com.br/hardware/27791-o-que-e-a-placa-de-video
NULL;placa-mae;É a placa central de todo o computador, onde todos os outros componentes são conectados.;placa-mae;https://www.techtudo.com.br/noticias/2012/04/o-que-e-placa-mae-e-como-funciona.ghtml
NULL;processador;Também conhecido como CPU, ele fica acoplado à placa-mãe e é responsável por fazer o controle das operações que a máquina realiza. Interfere diretamente na rapidez das tarefas executadas.;processador;https://tecnoblog.net/responde/o-que-e-um-processador/
NULL;QWERTY;"Em tecnologia, QWERTY é um layout de teclado para o alfabeto latino utilizado em máquinas de escrever, computadores e smatphones. O nome vem da sequencia de seis letras presente na primeira linha do teclado ""Q"", ""W"", ""E"", ""R"", ""T"", Y"".";qwerty;https://www.significadosbr.com.br/qwerty
NULL;RAM;A sigla RAM vem do inglês “random access memory”, que pode ser traduzindo para “memória de acesso aleatório”. Esse componente é responsável por dar mais agilidade e velocidade no funcionamento geral do sistema.;ram;https://www.techtudo.com.br/noticias/2012/02/o-que-e-memoria-ram-e-qual-sua-funcao.ghtml
NULL;Rede;Redes de computadores referem-se a dispositivos de computação interconectados que podem trocar dados e compartilhar recursos entre si. Esses dispositivos em rede usam um sistema de regras, chamados de protocolos de comunicação, para transmitir informações por meio de tecnologias físicas ou sem fio.;rede;https://aws.amazon.com/pt/what-is/computer-networking/#:~:text=Redes%20de%20computadores%20referem%2Dse,tecnologias%20f%C3%ADsicas%20ou%20sem%20fio.
NULL;ROM;ROM (Read Only Memory) permite a gravação de dados uma única vez, não sendo possível apagar ou editar nenhuma informação, somente acessar a mesma.;rom;https://tecnoblog.net/responde/o-que-e-memoria-rom/
NULL;Roteador;Um roteador recebe e envia dados nas redes de computadores. Às vezes, os roteadores são confundidos com hubs, modems ou switches de rede. No entanto, os roteadores combinam as funções desses componentes e se conectam a esses dispositivos para melhorar o acesso à Internet ou ajudar a criar redes empresarias.;roteador;https://www.cisco.com/c/pt_br/solutions/small-business/resource-center/networking/what-is-a-router.html
NULL;Servidor;Um servidor é um computador equipado com um ou mais processadores, bancos de memória, portas de comunicação, softwares e, ocasionalmente, algum sistema para armazenamento de dados, como hard disks internos ou memórias SSD.;servidor;https://www.controle.net/faq/o-que-sao-servidores
